source_id,file,original_sha256,derivative_sha256,home_path_replacements,loopback_port_replacements,normalization
S04,baseline.csv,bd2d783509f69241728ba940a659b2c9276bbb58d393bf37dcd840a7546a7d63,4d72d36846390fd709bd2b23ec7b3d08b7a1d7146d21287e0c9b4a4dde40475b,0,0,"UTF-8 text; original archived checksums refer to originals, not derivatives"
S04,command.txt,8efac6acc224a3792c68755fdc1c98b146db9fbdc44d0041186388e556c22e4e,c78403e9d0a45b6ff82d61f9bcd47a89337737be99fd8a6171734476d78401b4,3,0,"UTF-8 text; original archived checksums refer to originals, not derivatives"
S04,concurrent-metrics.tsv,716cad40cbe569939c96825401568478b83e1fc48bc2b1909ef1b6ef3083875b,4ba2d4f9c0077902539b8714a1ea13eb18983a39e4574ed3087170d1d7c83147,0,0,"UTF-8 text; original archived checksums refer to originals, not derivatives"
S04,pds-v100-sglang/client.log,0dd46dae843317a29dcf26044579aa2c2cca41d0604b122ac106d759058acccf,e34b26044f24d98736eab47e51bf7eaef4dfa40e8905fd773576b2fe7c30e71e,0,0,"UTF-8 text; original archived checksums refer to originals, not derivatives"
S04,pds-v100-sglang/concurrent-client.py,1c3274c1618b402c3a1a8b76734e8b86c208a3d37fb894346a9b2172c64baadc,1d8dde8ce00be4c322fd0496c7ecdfaf6757bbc9225fd97d138b153c38e2a89f,0,0,"UTF-8 text; original archived checksums refer to originals, not derivatives"
S04,pds-v100-sglang/server.log,79bff01717b59a1c30d4b7dc16955599fe6ee0f4359f7fd797536e27d8f2039f,f4d74fa3bb7b5a0822a132b5ff8af35562b4a6b6c0f47afa5c9170dddae811ac,83,6,"UTF-8 text; original archived checksums refer to originals, not derivatives"
S04,pds-v100-sglang/thermal.csv,57d2b5566ed1533a19f7aa7790dd5c1a89e4ba8e730a18d4f6d5b418876c2e18,cbb337d625ab3b8f4d140004ef4f5e7db1988dc8ea34fd123a70556e5fc2667f,0,0,"UTF-8 text; original archived checksums refer to originals, not derivatives"
S04,run.yaml,83c340327eafbf83328b0e0b1aef1a7f5b7c0d03835a93894a05677375df0bbb,18e671fad4a69f03ee157107500c70fa891f399195d658200d26dd363118f209,3,0,"UTF-8 text; original archived checksums refer to originals, not derivatives"
S04,sha256sum.txt,1beeed6959724cb4a098bf9e41d656d4cf2632a1ca26cc82c20e8edbee9c505e,e11bd9f27e7541eeb3ac31f54655572545b2b049de922abdefcfae4f5a0bf809,0,0,"UTF-8 text; original archived checksums refer to originals, not derivatives"
S04,summary.txt,c029bacbe43dd4b20ff4e4a60bbab852f778c32019e33734dc40914f47a2fcdd,d3fe0d5f093f893dab77457fcc501a75f22d3e7ad97698994d4d69b3eaee1c93,4,0,"UTF-8 text; original archived checksums refer to originals, not derivatives"
S05,baseline.csv,443b99b2e77522cd34f94fdf97f3be6e546c8931e522f4f7c49df571795614a9,badd8a2b20abaea221df71b4eeda9e9adde0d7956b72b6d13e3bc631a7511270,0,0,"UTF-8 text; original archived checksums refer to originals, not derivatives"
S05,command.txt,3a30278324434985a32be72df57bee475609580ad207e56db0e24540f8eea5f3,7a8f7e4be95761e08f092fb7b58e4915b70fec998c44ce592cc5a295bba5e720,3,0,"UTF-8 text; original archived checksums refer to originals, not derivatives"
S05,concurrent-metrics.tsv,9e66cc68f44d23c05e2e83acfe44663a2fead3987448a5556fd110ba8a92a50a,582d9668d33120faecbfefd595251c422bbd28e6bed3d29fa28d65773db0ae6d,0,0,"UTF-8 text; original archived checksums refer to originals, not derivatives"
S05,pds-v100-sglang/client.log,d363bfe8b4fb825ef9aff293ecc875ca9aed97496982d47669b90dfd0248054a,a86064375be3a9b74b3c9d09187cb36c916fb6fc190b542bf20a16407ec723eb,0,0,"UTF-8 text; original archived checksums refer to originals, not derivatives"
S05,pds-v100-sglang/concurrent-client.py,1c3274c1618b402c3a1a8b76734e8b86c208a3d37fb894346a9b2172c64baadc,1d8dde8ce00be4c322fd0496c7ecdfaf6757bbc9225fd97d138b153c38e2a89f,0,0,"UTF-8 text; original archived checksums refer to originals, not derivatives"
S05,pds-v100-sglang/server.log,1a9597123e50ba9eb4f7e01a028af23e844845406b94bd8d953b69b6a3555f1f,29dc1bd66f109518adf327827103c6d3abec0b0032ca4b3e544c8aef377cfbac,129,3,"UTF-8 text; original archived checksums refer to originals, not derivatives"
S05,pds-v100-sglang/thermal.csv,c7f0e5f349fe9f7bc76d39f70a3edb449ce4907f03b4e1c42daef1c9b3fa5be4,d40059138225d4b924bfa8e699cb1e5f463115337b3911f5c4a04cf96c8e0f65,0,0,"UTF-8 text; original archived checksums refer to originals, not derivatives"
S05,run.yaml,9211b2fcad67082e02b68836f3169f3411e13135cdcbd00a9e18a7a696b3fa4d,572dd28ac2d3ac6761f8d5194bcbe2f920e315717eaa6b1d5f424976c5be42cc,3,0,"UTF-8 text; original archived checksums refer to originals, not derivatives"
S05,sha256sum.txt,a77cd92b2450e7a7d447b5764c7021e74b68352344ca0aaca592a3424f131533,d941a696b7d94acbae1fe4852cee83ec6b87bb46f08733fe1080b0e08ae844b9,0,0,"UTF-8 text; original archived checksums refer to originals, not derivatives"
S05,summary.txt,30220554475b7b757c70c9e43e59be8e8b0c7d7cc89614e885c946606fcf2b6c,4cb7fbec018964917642a0b8c580d60a6825bae018fbcfe14078dbbb790b0eda,4,0,"UTF-8 text; original archived checksums refer to originals, not derivatives"
S06,baseline.csv,bf9777046d03e13543eb8bb04fcfcdca6b2d1fca7fc1e6eeacdd6cf4d98c9094,80cf207c0f5d74bf0de1911c6ef19917f82c82dc9e2ed30415b391d14d482dfd,0,0,"UTF-8 text; original archived checksums refer to originals, not derivatives"
S06,command.txt,ba9b60d4c2a8b4cb28d51f203b316cbf3f513d48e28b9949724b34d70f4f7605,e399e37a0e968f32aa03566773da905ed87ae001647a27a42528ccbfa770aaa8,3,0,"UTF-8 text; original archived checksums refer to originals, not derivatives"
S06,concurrent-metrics.tsv,d034c31e8fbcc9f50b5b66fec09353426c6b55b990a81a6dbf2193ff2d3ee905,bc1d2f39b1d7beae3aa9b17d437d777de17f413b3ebbdd2795f87b91719b24fb,0,0,"UTF-8 text; original archived checksums refer to originals, not derivatives"
S06,pds-v100-sglang/client.log,29ee873655cbffb980822b25b40c740fa6055b4534ebb70685303f4e032314a6,1ca986866f60ff1ae61dcef62e8fef3d5242cc10ec163fd9fd488654e49b578e,0,0,"UTF-8 text; original archived checksums refer to originals, not derivatives"
S06,pds-v100-sglang/concurrent-client.py,1c3274c1618b402c3a1a8b76734e8b86c208a3d37fb894346a9b2172c64baadc,1d8dde8ce00be4c322fd0496c7ecdfaf6757bbc9225fd97d138b153c38e2a89f,0,0,"UTF-8 text; original archived checksums refer to originals, not derivatives"
S06,pds-v100-sglang/server.log,831924412320b24921af29fc968ad80b7c24162fb75920b385bf4e520ad5cd78,9a3d7110a4e534e04726ae33735655779f85c3a911214786b6fade37991f3d68,129,3,"UTF-8 text; original archived checksums refer to originals, not derivatives"
S06,pds-v100-sglang/thermal.csv,a19093a1deaef1f393ea936c85bae8e9497b3f71a433d4355803d73b15505ca3,9057863e9f9273ab076c484444f68dad9e0c24c705f4d62b3bec82592633163c,0,0,"UTF-8 text; original archived checksums refer to originals, not derivatives"
S06,run.yaml,22b7823e645cfb859fa5f71b1c8691f85ea475ae031731f546a3fde4dd618d15,ed45dfe17835adb31f1110ca517073fc8f44fcdebb7884c3dbd6a024bf4aef0e,3,0,"UTF-8 text; original archived checksums refer to originals, not derivatives"
S06,sha256sum.txt,345cc4b3dda2aefb8bce69c1a7031f3a490631495e4b62f468db1a31f5b9d7ad,361f5d7174f8a8cf2874b1b5bf626952df6c0f73ac554d91ed5e88aa63c973c3,0,0,"UTF-8 text; original archived checksums refer to originals, not derivatives"
S06,summary.txt,0fd708f247bb0c1e02635217b64d1751ef504d12d6e343b13aac5f3a4322740c,23bc1363113b82ee830b3d69007906296507a4667745626afb8dc7f6ef35f239,4,0,"UTF-8 text; original archived checksums refer to originals, not derivatives"
S07,baseline.csv,3b0ac236d471c317ac3406554adf11dfea58594e206dbbcb184ea153347a94ab,1c29ddfc9add2aa9799ae53b8c0de120a7480168067b7560de58ccb79194303d,0,0,"UTF-8 text; original archived checksums refer to originals, not derivatives"
S07,command.txt,88f1664ab171a47ab15137cabe55742166b20a3d4960053f955ed4955ae1ebcb,b95d44deb2628b57591a4300a478d94ce484e0f4eeb0e42e333dd4db82644a16,0,0,"UTF-8 text; original archived checksums refer to originals, not derivatives"
S07,concurrent-metrics.tsv,080691ff73d2298752441f9e912f5fc596e321d888bfed098c39ddcd17944cf4,e914171bbb8e43926e2604929593c1bec1ab81e7b1cc2225cedb0ca79d708723,0,0,"UTF-8 text; original archived checksums refer to originals, not derivatives"
S07,pds-v100-sglang/client.log,5824f0180eaa90b3eeeb85bff119a4be9db07662983e4980b1b36298f11bd332,d27d2242dabe30e0af692d53d9d6d1c1ae62902bdfee919bc275294f44e1f6e4,0,0,"UTF-8 text; original archived checksums refer to originals, not derivatives"
S07,pds-v100-sglang/concurrent-client.py,1c3274c1618b402c3a1a8b76734e8b86c208a3d37fb894346a9b2172c64baadc,1d8dde8ce00be4c322fd0496c7ecdfaf6757bbc9225fd97d138b153c38e2a89f,0,0,"UTF-8 text; original archived checksums refer to originals, not derivatives"
S07,pds-v100-sglang/server.log,2e7f3c393c8ea729abcd0a28e4fe3a1410f232cbf907fd83993db9200969eaf1,db265c3afbfa8c85c1d040fea55ace0165644226000080e3094dca671b6dbb73,5,84,"UTF-8 text; original archived checksums refer to originals, not derivatives"
S07,pds-v100-sglang/thermal.csv,c7a9b5f581f3ab011f53a7cfc06fcdec1004d513ece6500c5b2a2ed2a1c20dde,5c591ee843754001d4efc291c5407cc1ad441827a77b9cb0afe3aee4ca07ba54,0,0,"UTF-8 text; original archived checksums refer to originals, not derivatives"
S07,run.yaml,4364399d0dbc193076618984a4e933c7a04e898613eddd4b9069dfbd6a6746d4,68979e1243408f6930552463346af47f9f91169d06bb0ff92015dc879f210c28,1,0,"UTF-8 text; original archived checksums refer to originals, not derivatives"
S07,sha256sum.txt,cb2c944699a23df895c7353c83be62a4b2b69e75a468293daafaf129eeffa40f,d8e90a3746f614fe948f1338ff2c514c5221714f5ba1fe34d774497e3475b57c,0,0,"UTF-8 text; original archived checksums refer to originals, not derivatives"
S07,summary.txt,a2d60dd052e68dde5df1aed6e8766e33e58166f5c3c0b56b5bc285646fa2c64b,ba864cfb7d629d35f56818477cdca680e7885aefae15dd645560a9ed5c7a5c1b,2,0,"UTF-8 text; original archived checksums refer to originals, not derivatives"
S08,baseline.csv,778fc584a9ef6c0fa29e9db296b1f1cf0fcc3cf5ef05c812b3832b48e7831400,7384ace15d09050e317f858b21c40449e1d1e3548c51f1026cff5fa17adfcb8b,0,0,"UTF-8 text; original archived checksums refer to originals, not derivatives"
S08,command.txt,a89d49d8fe8640ac88c4f69a8eca5588a73c5641aae211e115f32ae22e600951,94be1595f084cff6f571920bd2f0915324e736f8adae8d82c6491573bdf2b0f7,1,0,"UTF-8 text; original archived checksums refer to originals, not derivatives"
S08,concurrent-metrics.tsv,e39a9a8775361ddeef22d1c69a2e2180428a3373fbf3e2d9ea8e1b403f1611a2,06279977454ddda9caa6ef585e9f7923f8ea2400ed9074f2a53c5eb737fa5b34,0,0,"UTF-8 text; original archived checksums refer to originals, not derivatives"
S08,pds-v100-sglang/client.log,b1ca2644ad9e29b7435bd070d1eeea4af9b02d3597c57e22687327a5e6464b4c,c4ba20845932569959783c4f5a1eb191561c1019c9b3a21c45489d27bed4845d,0,0,"UTF-8 text; original archived checksums refer to originals, not derivatives"
S08,pds-v100-sglang/concurrent-client.py,1c3274c1618b402c3a1a8b76734e8b86c208a3d37fb894346a9b2172c64baadc,1d8dde8ce00be4c322fd0496c7ecdfaf6757bbc9225fd97d138b153c38e2a89f,0,0,"UTF-8 text; original archived checksums refer to originals, not derivatives"
S08,pds-v100-sglang/server.log,6ce94979b9b56cad335322c4dc271fdd63a8e3dcad0a3728bca28960d04a2d8f,24cba02b607d0c040563934fca23e522d61867a2629b1851f466ae9b08beacfc,27,84,"UTF-8 text; original archived checksums refer to originals, not derivatives"
S08,pds-v100-sglang/thermal.csv,22f3c8b7452d4a3ac4ec2629195814071e207de7ccd29a980efbe73b48c04f3e,dfed0a80ce83246a7c05d7668251fd652b045171f20ed3c331cdd20b499e62af,0,0,"UTF-8 text; original archived checksums refer to originals, not derivatives"
S08,run.yaml,1decc885d31390d59619766bd7200651b1a52f68e379c95128768b5b48942c93,3b76168974b2bb8618f93904da2a2844ee9a8d834e294935d4a55233b86ffa18,2,0,"UTF-8 text; original archived checksums refer to originals, not derivatives"
S08,sha256sum.txt,e0271f3bf3f544cf55abf316af73e85df7170650f5e067861ccb743a8ab60354,079a640f242b7e3ee6245a1d4816c71ac6aad3937b9b9f6a96e3471197980199,0,0,"UTF-8 text; original archived checksums refer to originals, not derivatives"
S08,summary.txt,bd94738f9bc34318ea50c6bc68047908e8ea9880a531aedf9aac8cf4ee6e8b5c,c73fd66ebd232fe0d44a2044cf74c4cbc7193e953dca4863a5924d6d6cbe48c6,3,0,"UTF-8 text; original archived checksums refer to originals, not derivatives"
S09,baseline.csv,fa98db9106056871d7a166237119049365aadbca86580f6dc7b465c4698b72e8,600998648a46b34a2b9243d9b07afcfcd9f3bcb60df309e4edaf60c923850a22,0,0,"UTF-8 text; original archived checksums refer to originals, not derivatives"
